Specimen	Tissue	Treatment	Mouse		
Feces_Un_D1B	Feces	Un	D1B		
Feces_Un_D2A	Feces	Un	D2A		
Feces_Un_D2B	Feces	Un	D2B		
Feces_Un_D3A	Feces	Un	D3A		
Feces_Un_D3B	Feces	Un	D3B		
Lung__D1_M1_	Lung		D1	M1	
Lung__D1_M2_	Lung		D1	M2	
Lung__D1_M3_	Lung		D1	M3	
Lung__D1_M4_	Lung		D1	M4	
Lung__D1_M5_	Lung		D1	M5	
Lung__D3_M1_	Lung		D3	M1	
Lung__D3_M2_	Lung		D3	M2	
Lung__D3_M3_	Lung		D3	M3	
Lung__D3_M4_	Lung		D3	M4	
Lung__D3_M5_	Lung		D3	M5	
Lung__D5_M1_	Lung		D5	M1	
Lung__D5_M2_	Lung		D5	M2	
Lung__D5_M3_	Lung		D5	M3	
Lung__D5_M4_	Lung		D5	M4	
Lung__D5_M5_	Lung		D5	M5	
Lung__D7_M1_	Lung		D7	M1	
Lung__D7_M2_	Lung		D7	M2	
Lung__D7_M3_	Lung		D7	M3	
Lung__D7_M4_	Lung		D7	M4	
Lung__D7_M5_	Lung		D7	M5	
Lung__Un_M1_	Lung		Un	M1	
Lung__Un_M2_	Lung		Un	M2	
Lung__Un_M3_	Lung		Un	M3	
Lung__Un_M4_	Lung		Un	M4	
Lung__Un_M5_	Lung		Un	M5	
Mock__03_XX_	Mock		3	XX	
Mock__04_XX_	Mock		4	XX	
SID___D1_M1_	SID			D1	M1
SID___D1_M2_	SID			D1	M2
SID___D1_M3_	SID			D1	M3
SID___D1_M4_	SID			D1	M4
SID___D1_M5_	SID			D1	M5
SID___D3_M1_	SID			D3	M1
SID___D3_M2_	SID			D3	M2
SID___D3_M3_	SID			D3	M3
SID___D3_M4_	SID			D3	M4
SID___D3_M5_	SID			D3	M5
SID___D5_M1_	SID			D5	M1
SID___D5_M2_	SID			D5	M2
SID___D5_M3_	SID			D5	M3
SID___D5_M4_	SID			D5	M4
SID___D5_M5_	SID			D5	M5
SID___D7_M1_	SID			D7	M1
SID___D7_M2_	SID			D7	M2
SID___D7_M3_	SID			D7	M3
SID___D7_M4_	SID			D7	M4
SID___D7_M5_	SID			D7	M5
SID___Un_M1_	SID			Un	M1
SID___Un_M2_	SID			Un	M2
SID___Un_M3_	SID			Un	M3
SID___Un_M4_	SID			Un	M4
SID___Un_M5_	SID			Un	M5
Tngue_D1_M1_	Tngue	D1	M1		
Tngue_D1_M2_	Tngue	D1	M2		
Tngue_D1_M3_	Tngue	D1	M3		
Tngue_D1_M4_	Tngue	D1	M4		
Tngue_D1_M5_	Tngue	D1	M5		
Tngue_D3_M1_	Tngue	D3	M1		
Tngue_D3_M2_	Tngue	D3	M2		
Tngue_D3_M3_	Tngue	D3	M3		
Tngue_D3_M4_	Tngue	D3	M4		
Tngue_D3_M5_	Tngue	D3	M5		
Tngue_D5_M1_	Tngue	D5	M1		
Tngue_D5_M2_	Tngue	D5	M2		
Tngue_D5_M3_	Tngue	D5	M3		
Tngue_D5_M4_	Tngue	D5	M4		
Tngue_D5_M5_	Tngue	D5	M5		
Tngue_D7_M1_	Tngue	D7	M1		
Tngue_D7_M2_	Tngue	D7	M2		
Tngue_D7_M3_	Tngue	D7	M3		
Tngue_D7_M4_	Tngue	D7	M4		
Tngue_D7_M5_	Tngue	D7	M5		
Tngue_Un_M1_	Tngue	Un	M1		
Tngue_Un_M2_	Tngue	Un	M2		
Tngue_Un_M3_	Tngue	Un	M3		
Tngue_Un_M4_	Tngue	Un	M4		
Tngue_Un_M5_	Tngue	Un	M5		
Water_03_XX_	Water	3	XX		
Water_04_XX_	Water	4	XX		
